# Logfile created on 2016-04-30 17:32:40 +0530 by logger.rb/41954
D, [2016-04-30T17:33:25.429855 #9364] DEBUG -- : a var: ["SESSIONNAME", "Console"]
D, [2016-04-30T17:33:25.429855 #9364] DEBUG -- : a var: ["SITE_INFO", "Started on 04/30/2016 05:32PM\n\nhttp://m.nike.com/us/en_us/\nCannot determine site environment."]
D, [2016-04-30T17:33:25.429855 #9364] DEBUG -- : a var: ["SystemDrive", "C:"]
D, [2016-04-30T17:33:25.429855 #9364] DEBUG -- : a var: ["SystemRoot", "C:\\Windows"]
D, [2016-04-30T17:33:25.429855 #9364] DEBUG -- : a var: ["TEMP", "C:\\Users\\GANESH~1.PRA\\AppData\\Local\\Temp"]
D, [2016-04-30T17:33:25.429855 #9364] DEBUG -- : a var: ["TMP", "C:\\Users\\GANESH~1.PRA\\AppData\\Local\\Temp"]
D, [2016-04-30T17:33:25.430855 #9364] DEBUG -- : a var: ["URL", "http://m.nike.com/us/en_us/"]
D, [2016-04-30T17:33:25.430855 #9364] DEBUG -- : a var: ["USER", "ganesh.prabhakaran"]
D, [2016-04-30T17:33:25.430855 #9364] DEBUG -- : a var: ["USERDNSDOMAIN", "ASPIRESYS.COM"]
D, [2016-04-30T17:33:25.430855 #9364] DEBUG -- : a var: ["USERDOMAIN", "ASPIRESYS"]
D, [2016-04-30T17:33:25.430855 #9364] DEBUG -- : a var: ["USERNAME", "ganesh.prabhakaran"]
D, [2016-04-30T17:33:25.431855 #9364] DEBUG -- : a var: ["USERPROFILE", "C:\\Users\\ganesh.prabhakaran"]
D, [2016-04-30T17:33:25.431855 #9364] DEBUG -- : a var: ["VSEDEFLOGDIR", "C:\\ProgramData\\McAfee\\DesktopProtection"]
D, [2016-04-30T17:33:25.431855 #9364] DEBUG -- : a var: ["windir", "C:\\Windows"]
D, [2016-04-30T17:33:25.431855 #9364] DEBUG -- : a var: ["windows_tracing_flags", "3"]
D, [2016-04-30T17:33:25.431855 #9364] DEBUG -- : a var: ["windows_tracing_logfile", "C:\\BVTBin\\Tests\\installpackage\\csilogfile.log"]
