# Logfile created on 2016-04-30 17:23:22 +0530 by logger.rb/41954
D, [2016-04-30T17:24:23.939855 #8856] DEBUG -- : a var: ["MAGICK_CODER_MODULE_PATH", "C:/Ruby200/lib/ruby/gems/2.0.0/gems/win32screenshot-1.0.10/lib/win32/../../ext/modules/coders"]
D, [2016-04-30T17:24:23.939855 #8856] DEBUG -- : a var: ["NUMBER_OF_PROCESSORS", "4"]
D, [2016-04-30T17:24:23.939855 #8856] DEBUG -- : a var: ["OS", "Windows_NT"]
D, [2016-04-30T17:24:23.939855 #8856] DEBUG -- : a var: ["Path", "C:/Ruby200/lib/ruby/gems/2.0.0/gems/win32screenshot-1.0.10/lib/win32/../../ext;C:/Ruby200/lib/ruby/gems/2.0.0/bin;C:\\Ruby200\\bin;C:\\Program Files\\Common Files\\Microsoft Shared\\Microsoft Online Services;C:\\Program Files\\Common Files\\Microsoft Shared\\Windows Live;C:\\Windows\\system32;C:\\Windows;C:\\Windows\\System32\\Wbem;C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\;C:\\Program Files\\Intel\\Services\\IPT\\;C:\\Program Files\\NTRU Cryptosystems\\NTRU TCG Software Stack\\bin\\;C:\\Program Files\\Dell\\Dell Data Protection\\Access\\Advanced\\Wave\\Gemalto\\Access Client\\v5\\;C:\\Program Files\\Windows Live\\Shared;C:\\Program Files\\ZipGenius 6\\;C:\\Program Files\\TortoiseSVN\\bin;C:\\Program Files\\RSA Security\\RSA SecurID Software Token\\;C:\\Program Files\\jruby1.7.3\\Jruby\\lib;C:\\Program Files\\IBM_data_driver\\clidriver\\bin;C:\\Program Files\\TortoiseGit\\bin;C:\\Program Files\\jruby1.7.3\\Jruby\\bin;C:\\Python34;C:\\Python34\\Scripts;C:\\Program Files\\Java\\jre7\\bin;C:\\Program Files\\Java\\jdk1.7.0_05\\bin;E:\\Program Files\\nodejs\\;E:\\Appium_Setup_Files\\sdk\\tools;E:\\Appium_Setup_Files\\sdk\\platform-tools;E:\\Appium_Setup_Files\\sdk\\platforms;E:\\Ant\\apache-maven-3.0.3\\bin;C:\\IBMDB2\\clidriver\\bin;C:\\OracleDB \\instantclient_12_1;C:\\Program Files\\Skype\\Phone\\;C:\\jmeter\\apache-jmeter-2.13\\bin;D:\\AndroidSDK\\platform-tools\\;D:\\AndroidSDK\\tools\\;C:\\chromedriver_win32\\;C:\\Users\\ganesh.prabhakaran\\AppData\\Roaming\\npm;.;C:\\Program Files\\jruby\\bin/bin;.;C:/Ruby200/lib/ruby/gems/2.0.0/gems/ibm_db-2.6.1-x86-mingw32/lib/clidriver/bin"]
D, [2016-04-30T17:24:23.939855 #8856] DEBUG -- : a var: ["PATHEXT", ".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.PY;.RB;.RBW"]
D, [2016-04-30T17:24:23.940855 #8856] DEBUG -- : a var: ["PROCESSOR_ARCHITECTURE", "x86"]
D, [2016-04-30T17:24:23.940855 #8856] DEBUG -- : a var: ["PROCESSOR_IDENTIFIER", "x86 Family 6 Model 42 Stepping 7, GenuineIntel"]
D, [2016-04-30T17:24:23.940855 #8856] DEBUG -- : a var: ["PROCESSOR_LEVEL", "6"]
D, [2016-04-30T17:24:23.940855 #8856] DEBUG -- : a var: ["PROCESSOR_REVISION", "2a07"]
D, [2016-04-30T17:24:23.940855 #8856] DEBUG -- : a var: ["ProgramData", "C:\\ProgramData"]
D, [2016-04-30T17:24:23.940855 #8856] DEBUG -- : a var: ["ProgramFiles", "C:\\Program Files"]
D, [2016-04-30T17:24:23.940855 #8856] DEBUG -- : a var: ["PROMPT", "$P$G"]
D, [2016-04-30T17:24:23.940855 #8856] DEBUG -- : a var: ["PSModulePath", "C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\"]
D, [2016-04-30T17:24:23.940855 #8856] DEBUG -- : a var: ["PUBLIC", "C:\\Users\\Public"]
D, [2016-04-30T17:24:23.940855 #8856] DEBUG -- : a var: ["RELEASE_VERSION", ""]
D, [2016-04-30T17:24:23.941855 #8856] DEBUG -- : a var: ["RUBYLIB", "C:/Ruby200/lib/ruby/gems/2.0.0/gems/bundler-1.10.6/lib"]
D, [2016-04-30T17:24:23.941855 #8856] DEBUG -- : a var: ["RUBYOPT", "-rbundler/setup"]
D, [2016-04-30T17:24:23.941855 #8856] DEBUG -- : a var: ["RYBUOPT", "rubygems"]
D, [2016-04-30T17:24:23.941855 #8856] DEBUG -- : a var: ["SESSIONNAME", "Console"]
D, [2016-04-30T17:24:23.941855 #8856] DEBUG -- : a var: ["SITE_INFO", "Started on 04/30/2016 05:21PM\n\nhttp://www.nike.com/us/en_us/\nCannot determine site environment."]
D, [2016-04-30T17:24:23.941855 #8856] DEBUG -- : a var: ["SystemDrive", "C:"]
D, [2016-04-30T17:24:23.941855 #8856] DEBUG -- : a var: ["SystemRoot", "C:\\Windows"]
D, [2016-04-30T17:24:23.941855 #8856] DEBUG -- : a var: ["TEMP", "C:\\Users\\GANESH~1.PRA\\AppData\\Local\\Temp"]
D, [2016-04-30T17:24:23.942855 #8856] DEBUG -- : a var: ["TMP", "C:\\Users\\GANESH~1.PRA\\AppData\\Local\\Temp"]
D, [2016-04-30T17:24:23.942855 #8856] DEBUG -- : a var: ["URL", "http://www.nike.com/us/en_us/"]
D, [2016-04-30T17:24:23.942855 #8856] DEBUG -- : a var: ["USER", "ganesh.prabhakaran"]
D, [2016-04-30T17:24:23.942855 #8856] DEBUG -- : a var: ["USERDNSDOMAIN", "ASPIRESYS.COM"]
D, [2016-04-30T17:24:23.942855 #8856] DEBUG -- : a var: ["USERDOMAIN", "ASPIRESYS"]
D, [2016-04-30T17:24:23.942855 #8856] DEBUG -- : a var: ["USERNAME", "ganesh.prabhakaran"]
D, [2016-04-30T17:24:23.942855 #8856] DEBUG -- : a var: ["USERPROFILE", "C:\\Users\\ganesh.prabhakaran"]
D, [2016-04-30T17:24:23.942855 #8856] DEBUG -- : a var: ["VSEDEFLOGDIR", "C:\\ProgramData\\McAfee\\DesktopProtection"]
D, [2016-04-30T17:24:23.943855 #8856] DEBUG -- : a var: ["windir", "C:\\Windows"]
D, [2016-04-30T17:24:23.943855 #8856] DEBUG -- : a var: ["windows_tracing_flags", "3"]
D, [2016-04-30T17:24:23.943855 #8856] DEBUG -- : a var: ["windows_tracing_logfile", "C:\\BVTBin\\Tests\\installpackage\\csilogfile.log"]
